0|25/06/2019|15|18|26|60
1|31/06/2019|10|16|60|10
2|31/06/2019|15|30|25|60
3|05/07/2019|15|40|20|60
4|05/07/2019|0|50|25|100
5|08/08/2019|0|50|6|100
6|08/08/2019|10|50|0|100
7|05/07/2019|10|50|0|100
8|05/07/2019|10|50|0|100
9|10/08/2019|5|50|0|100
10|25/08/2019|5|50|0|45
11|03/09/2019|3|15|10|40
12|05/09/2019|3|15|10|40
13|05/09/2019|-15|-10|10|40
14|05/09/2019|-14|-5|10|40
15|30/06/2019|15|18|26|60
16|31/07/2019|10|16|60|10
17|31/08/2019|15|30|25|60
18|05/09/2019|15|40|20|60
19|05/07/2019|2|50|0|100
