MANZANAS GREENTRANS|20199110001|25/06/2019|10|12|40|0
MANZANAS GREENTRANS|20199110001|10/07/2019|10|12|40|0
MANZANAS GOLDEN|20199110001|30/06/2019|5|10|35|0
MANZANAS GOLDEN|20199110001|15/07/2019|10|10|35|0
PERA CONFERENCE|20199110001|22/09/2019|15|12|5|0
PERA CONFERENCE|20199110001|15/10/2019|15|12|5|0
MANZANAS GREENTRANS|20199110001|25/06/2019|10|12|40|0
MANZANAS GREENTRANS|20199110001|10/07/2019|10|12|40|0
MANZANAS GOLDEN|20199110001|30/06/2019|5|10|35|0
MANZANAS GOLDEN|20199110001|15/07/2019|10|10|35|0
PERA CONFERENCE|20199110001|22/09/2019|15|12|5|0
PERA CONFERENCE|20199110001|15/10/2019|15|12|5|0
MANZANAS GREENTRANS|20199110001|25/06/2019|10|12|40|0
MANZANAS GREENTRANS|20199110001|10/07/2019|10|12|40|0
MANZANAS GOLDEN|20199110001|30/06/2019|5|10|35|0
MANZANAS GOLDEN|20199110001|15/07/2019|10|10|35|0
PERA CONFERENCE|20199110001|22/09/2019|15|12|5|0
MANZANAS GREENTRANS|20199110001|25/06/2019|10|12|40|1
MANZANAS GREENTRANS|20199110001|10/07/2019|10|12|40|1
MANZANAS GOLDEN|20199110001|30/06/2019|5|10|35|1
MANZANAS GOLDEN|20199110001|15/07/2019|10|10|35|1
PERA CONFERENCE|20199110001|22/09/2019|15|12|5|1
PERA CONFERENCE|20199110001|15/10/2019|15|12|5|1
MANZANAS GREENTRANS|20199110001|25/06/2019|10|12|40|1
MANZANAS GREENTRANS|20199110001|10/07/2019|10|12|40|1
MANZANAS GOLDEN|20199110001|30/06/2019|5|10|35|1
MANZANAS GOLDEN|20199110001|15/07/2019|10|10|35|1
PERA CONFERENCE|20199110001|22/09/2019|15|12|5|1
PERA CONFERENCE|20199110001|15/10/2019|15|12|5|1
MANZANAS GREENTRANS|20199110001|25/06/2019|10|12|40|1
MANZANAS GREENTRANS|20199110001|10/07/2019|10|12|40|1
TABLONES CAOBA 7x25|20199110001|25/02/2022|50|-5|0|2
TABLONES EVANO 7x25|20199110001|25/02/2022|25|-5|0|2
FAIRY ULTRA|20199110001|12/12/2021|23|10|0|2
MISTOL|20199110001|01/12/2021|22|10|0|2
CONGELADOS GAMBA|20199110001|05/05/2020|10|-18|50|3
CONGELADOS GAMBA|20199110001|05/06/2020|10|-18|50|3
CONGELADOS GAMBA|20199110001|05/07/2020|10|-18|50|3
CONGELADOS GAMBA|20199110001|05/08/2020|10|-18|50|3
CONGELADOS MERLUZA|20199110001|05/05/2020|5|-18|50|3
CONGELADOS MERLUZA|20199110001|05/06/2020|7|-18|50|3
CONGELADOS MERLUZA|20199110001|05/07/2020|10|-18|50|3
CONGELADOS MERLUZA|20199110001|05/08/2020|7|-18|50|3
CONGELADOS GAMBA|20199110001|15/05/2020|10|-18|50|3
CONGELADOS GAMBA|20199110001|15/06/2020|10|-18|50|3
CONGELADOS GAMBA|20199110001|15/07/2020|10|-18|50|3
CONGELADOS GAMBA|20199110001|15/08/2020|10|-18|50|3
CONGELADOS MERLUZA|20199110001|25/05/2020|5|-18|50|3
CONGELADOS MERLUZA|20199110001|25/06/2020|7|-18|50|3
CONGELADOS MERLUZA|20199110001|25/07/2020|10|-18|50|3
CONGELADOS MERLUZA|20199110001|25/08/2020|7|-18|50|3
